Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
16/03/2026 13:04,3-1246,Sale,Drinks fridge,10063,Water - sparkling,,,1.000,1.30,0.00,1.30,1.50,-0.20,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 12:42,3-1245,Sale,,10038,Tea,,,1.000,3.00,0.00,3.00,3.00,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 12:42,3-1245,Sale,,10037,Flat white,,,1.000,3.50,0.00,3.50,3.50,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 12:42,3-1245,Sale,,10165,Lemon crumble slice,,,1.000,3.80,0.00,3.80,0.00,3.80,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 12:32,3-1244,Sale,,10008,Diet pepsi 330ml,,,1.000,1.50,0.00,1.50,0.00,1.50,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 12:27,3-1243,Sale,,10038,Tea,,,1.000,3.00,0.00,3.00,3.00,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 12:27,3-1243,Sale,,10165,Lemon crumble slice,,,1.000,3.80,0.00,3.80,0.00,3.80,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 12:07,3-1242,Sale,Snacks,10204,Turnover cheese and onion,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 12:07,3-1242,Sale,,10038,Tea,,,1.000,3.00,0.00,3.00,3.00,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 11:51,3-1241,Sale,,10035,Sandwich,,,1.000,5.00,0.00,5.00,0.00,5.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 11:51,3-1241,Sale,Snacks,10205,Turnover bacon and cheese,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 11:51,3-1241,Sale,,10153,Iced latte,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 11:37,3-1240,Sale,,10001,Cappuccino,,,2.000,7.60,0.00,7.60,0.00,7.60,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 11:37,3-1240,Sale,,10086,Brownie,,,1.000,4.00,0.00,4.00,0.00,4.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 11:27,3-1239,Sale,,10165,Lemon crumble slice,,,1.000,3.80,0.00,3.80,0.00,3.80,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 11:17,3-1238,Sale,,10038,Tea,,,1.000,3.00,0.00,3.00,3.00,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
16/03/2026 11:12,3-1237,Sale,,10038,Tea,,,1.000,3.00,0.00,3.00,3.00,0.00,0.00,"Amandas new phone ",Penkey Coffee and Gifts,Owner,,,,Closed
